NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,state,county,tract
"Census Tract 9701, Adair County, Kentucky",1400000US21001970100,1862,33.3,1709,58,7,0,0,57,776,647,553,94,249,100,82200,553,0,1862,225,15431,647,0,33523,1862,1140,689,14,1129,980,249,37,0,0,20,92,100,21,001,970100
"Census Tract 9702, Adair County, Kentucky",1400000US21001970200,1600,42.5,1574,24,0,0,0,2,771,566,474,92,287,273,80800,474,0,1590,189,17300,566,0,46042,1600,1380,220,0,1033,995,287,0,0,0,14,0,273,21,001,970200
"Census Tract 9703, Adair County, Kentucky",1400000US21001970300,2955,43.5,2955,0,0,0,0,0,1301,1123,934,189,553,415,68900,934,0,2928,635,16381,1123,5,31566,2955,2262,693,0,1981,1946,553,0,0,35,0,103,415,21,001,970300
"Census Tract 9704.01, Adair County, Kentucky",1400000US21001970401,4092,45.1,3633,349,0,0,0,36,2229,1882,1087,795,1322,997,79700,1087,0,3956,817,17413,1882,22,24572,4092,3036,993,0,2313,2276,1322,0,0,0,84,241,997,21,001,970401
"Census Tract 9704.02, Adair County, Kentucky",1400000US21001970402,4240,30.0,3941,162,0,9,0,46,1623,1464,951,513,1052,934,94400,951,0,3466,701,14866,1464,0,37944,4240,3148,970,95,2937,2825,1052,0,0,0,64,54,934,21,001,970402
"Census Tract 9705, Adair County, Kentucky",1400000US21001970500,2241,38.4,2176,29,0,36,0,0,1123,874,759,115,273,198,66500,759,0,2241,632,12966,874,0,31364,2241,1637,568,0,1324,1288,273,0,37,0,9,29,198,21,001,970500
"Census Tract 9706, Adair County, Kentucky",1400000US21001970600,1623,42.1,1567,56,0,0,0,0,692,637,536,101,388,383,71300,536,0,1623,315,17833,637,0,42902,1623,1308,315,0,826,826,388,0,0,0,5,0,383,21,001,970600
"Census Tract 9201, Allen County, Kentucky",1400000US21003920100,3577,42.5,3431,0,10,0,0,50,1927,1473,1198,275,645,548,101600,1198,8,3571,484,19367,1473,30,37554,3577,2222,1211,36,2329,2173,645,0,0,0,59,38,548,21,003,920100
"Census Tract 9202, Allen County, Kentucky",1400000US21003920200,2548,37.2,2533,0,0,15,0,0,1054,911,788,123,369,272,91800,788,0,2548,320,18977,911,0,48359,2548,1703,785,28,1502,1363,369,0,0,0,80,17,272,21,003,920200
"Census Tract 9203, Allen County, Kentucky",1400000US21003920300,4791,32.9,4580,172,24,0,0,0,2031,1861,1187,674,1700,1573,89900,1187,0,4633,1199,15788,1861,0,30581,4791,3302,1481,8,2489,2449,1700,0,0,0,56,71,1573,21,003,920300
"Census Tract 9204, Allen County, Kentucky",1400000US21003920400,4011,36.9,3873,87,0,0,0,40,2043,1670,1127,543,1185,871,92200,1127,0,3885,725,18282,1670,6,35921,4011,3064,821,52,2745,2675,1185,0,0,35,114,165,871,21,003,920400
"Census Tract 9205, Allen County, Kentucky",1400000US21003920500,1361,45.9,1361,0,0,0,0,0,695,626,529,97,207,47,104000,529,0,1361,215,20773,626,5,24875,1361,839,512,10,812,777,207,0,27,14,33,86,47,21,003,920500
"Census Tract 9206, Allen County, Kentucky",1400000US21003920600,3578,38.5,3484,0,0,66,0,0,1484,1308,1114,194,463,441,84700,1114,0,3562,991,15209,1308,0,31173,3578,2085,1270,143,2281,2105,463,0,0,0,22,0,441,21,003,920600
"Census Tract 9501, Anderson County, Kentucky",1400000US21005950100,7767,35.0,7333,295,0,11,0,0,3435,3011,2257,754,1699,1228,124900,2257,0,7708,587,24306,3011,13,60563,7767,6151,1380,84,4940,4792,1699,0,0,15,180,276,1228,21,005,950100
"Census Tract 9502.01, Anderson County, Kentucky",1400000US21005950201,5203,43.6,4987,154,0,47,0,0,2348,2234,1560,674,1642,1355,128700,1560,27,5099,941,23574,2234,36,42981,5203,4185,943,42,2947,2908,1642,0,0,0,70,217,1355,21,005,950201
"Census Tract 9502.02, Anderson County, Kentucky",1400000US21005950202,3810,35.4,3704,48,0,1,0,0,1481,1390,1018,372,990,695,158500,1018,12,3787,769,24698,1390,24,57419,3810,3197,538,0,2343,2290,990,0,0,0,23,272,695,21,005,950202
"Census Tract 9503, Anderson County, Kentucky",1400000US21005950300,2025,40.6,2012,4,0,9,0,0,818,793,708,85,339,295,143300,708,0,2000,251,27285,793,10,52917,2025,1606,401,0,1265,1250,339,0,0,0,0,44,295,21,005,950300
